number,pokemon_name,pic_url,main_type,secondary_type,region,category,height (),weight (),pokemon_family,attack,defense,stamina,cp min,cp max,Hp min,hp max,capture_rate,flee_rate,male_perc,female_perc,resistance,weakness,wild_avail,egg_avail,raid_avail,research_avail,shiny,shadow,Fecha
1,Bulbasaur,https://static.wikia.nocookie.net/pokemongo/images/4/43/Bulbasaur.png,Grass,Poison,Kanto,Seed,"0,7","6,9",Bulbasaur family,118,111,128,12,1115,12,113,20%,10%,"87,50%","12,50%","{'62.5%': ['Electric', 'Fairy', 'Fighting', 'Water'], '39%': ['Grass']}","{'160%': ['Fire', 'Flying', 'Ice', 'Psychic']}",Yes,No,Formerly (1st tier level),Yes,Yes,Yes,1996
2,Ivysaur,https://static.wikia.nocookie.net/pokemongo/images/8/86/Ivysaur.png,Grass,Poison,Kanto,Seed,1,13,Bulbasaur family,151,143,155,19,1699,14,134,10%,7%,"87,50%","12,50%","{'62.5%': ['Electric', 'Fairy', 'Fighting', 'Water'], '39%': ['Grass']}","{'160%': ['Fire', 'Flying', 'Ice', 'Psychic']}",Yes,No,Formerly (1st tier level),No,Yes,Yes,1996
3,Venusaur,https://static.wikia.nocookie.net/pokemongo/images/b/be/Venusaur.png,Grass,Poison,Kanto,Seed,2,100,Bulbasaur family,198,189,190,33,2720,17,162,5%,5%,"87,50%","12,50%","{'62.5%': ['Electric', 'Fairy', 'Fighting', 'Water'], '39%': ['Grass']}","{'160%': ['Fire', 'Flying', 'Ice', 'Psychic']}",Yes,No,Formerly (3rd tier level),Formerly,Yes,Yes,1996
4,Charmander,https://static.wikia.nocookie.net/pokemongo/images/5/56/Charmander.png,Fire,,Kanto,Lizard,"0,6","8,5",Charmander family,116,93,118,10,980,11,105,20%,10%,"87,50%","12,50%","{'62.5%': ['Bug', 'Fairy', 'Fire', 'Grass', 'Ice', 'Steel']}","{'160%': ['Ground', 'Rock', 'Water']}",Yes,No,Formerly (1st tier level),Yes,Yes,Yes,1996
5,Charmeleon,https://static.wikia.nocookie.net/pokemongo/images/f/fb/Charmeleon.png,Fire,,Kanto,Flame,"1,1",19,Charmander family,158,126,151,19,1653,14,131,10%,7%,"87,50%","12,50%","{'62.5%': ['Bug', 'Fairy', 'Fire', 'Grass', 'Ice', 'Steel']}","{'160%': ['Ground', 'Rock', 'Water']}",Yes,No,Formerly (2nd tier level),Formerly,Yes,Yes,1996
6,Charizard,https://static.wikia.nocookie.net/pokemongo/images/9/95/Charizard.png,Fire,Flying,Kanto,Flame,"1,7","90,5",Charmander family,223,173,186,35,2889,17,158,5%,5%,"87,50%","12,50%","{'62.5%': ['Fairy', 'Fighting', 'Fire', 'Ground', 'Steel'], '39%': ['Bug', 'Grass']}","{'160%': ['Electric', 'Water'], '256%': ['Rock']}",Yes,No,Formerly (3rd tier level),No,Yes,Yes,1996
7,Squirtle,https://static.wikia.nocookie.net/pokemongo/images/e/e3/Squirtle.png,Water,,Kanto,Tiny,"0,5",9,Squirtle family,94,121,127,10,946,11,112,20%,10%,"87,50%","12,50%","{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}",Yes,No,Formerly (1st tier level),Yes,Yes,Yes,1996
8,Wartortle,https://static.wikia.nocookie.net/pokemongo/images/d/d7/Wartortle.png,Water,,Kanto,Turtle,1,"22,5",Squirtle family,126,155,153,17,1488,14,132,10%,7%,"87,50%","12,50%","{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}",Yes,No,Formerly (2nd tier level),No,Yes,Yes,1996
9,Blastoise,https://static.wikia.nocookie.net/pokemongo/images/4/41/Blastoise.png,Water,,Kanto,Shellfish,"1,6","85,5",Squirtle family,171,207,188,29,2466,17,160,5%,5%,"87,50%","12,50%","{'62.5%': ['Fire', 'Ice', 'Steel', 'Water']}","{'160%': ['Electric', 'Grass']}",Yes,No,Formerly (4th tier level),Formerly,Yes,Yes,1996
10,Caterpie,https://static.wikia.nocookie.net/pokemongo/images/0/05/Caterpie.png,Bug,,Kanto,Worm,"0,3","2,9",Caterpie family,55,55,128,10,437,12,113,50%,20%,50%,50%,"{'62.5%': ['Fighting', 'Grass', 'Ground']}","{'160%': ['Fire', 'Flying', 'Rock']}",Yes,No,Formerly (1st tier level),Formerly,Yes,No,1996
